Name \\epn-ta-pix-001.epn.local\42FYC4216/Meas/PRIM
Data Type Float 32
Number of Values 21600
Time Value Value Attributes
31-Mar-2024 19:34:59.039 1,1178
31-Mar-2024 19:34:58.04001 1,1021
31-Mar-2024 19:34:57.041 1,0865
31-Mar-2024 19:34:56.039 1,0712
31-Mar-2024 19:34:55.039 1,0565
31-Mar-2024 19:34:54.039 1,0428
31-Mar-2024 19:34:53.039 1,0306
31-Mar-2024 19:34:52.039 1,0205
31-Mar-2024 19:34:51.039 1,0124
31-Mar-2024 19:34:50.041 1,0063
31-Mar-2024 19:34:49.039 1,002
31-Mar-2024 19:34:48.039 0,99901
31-Mar-2024 19:34:47.041 0,99689
31-Mar-2024 19:34:46.039 0,9958
31-Mar-2024 19:34:45.041 0,99632
31-Mar-2024 19:34:44.039 0,99906
31-Mar-2024 19:34:43.039 1,0042
31-Mar-2024 19:34:42.039 1,0117
31-Mar-2024 19:34:41.04001 1,0211
31-Mar-2024 19:34:40.039 1,0321
31-Mar-2024 19:34:39.039 1,0441
31-Mar-2024 19:34:38.041 1,0563
31-Mar-2024 19:34:37.03801 1,0681
31-Mar-2024 19:34:36.039 1,0792
31-Mar-2024 19:34:35.039 1,0896
31-Mar-2024 19:34:34.039 1,0994
31-Mar-2024 19:34:33.039 1,1084
31-Mar-2024 19:34:32.039 1,1168
31-Mar-2024 19:34:31.039 1,1249
31-Mar-2024 19:34:30.039 1,1325
31-Mar-2024 19:34:29.039 1,1398
31-Mar-2024 19:34:28.039 1,1465
31-Mar-2024 19:34:27.039 1,1528
31-Mar-2024 19:34:26.039 1,1583
31-Mar-2024 19:34:25.039 1,1627
31-Mar-2024 19:34:24.039 1,1658
31-Mar-2024 19:34:23.039 1,1674
31-Mar-2024 19:34:22.039 1,1679
31-Mar-2024 19:34:21.041 1,1678
31-Mar-2024 19:34:20.039 1,1677
31-Mar-2024 19:34:19.039 1,1682
31-Mar-2024 19:34:18.039 1,1699
31-Mar-2024 19:34:17.039 1,173
31-Mar-2024 19:34:16.039 1,1776
31-Mar-2024 19:34:15.039 1,1834
31-Mar-2024 19:34:14.039 1,1899
31-Mar-2024 19:34:13.04001 1,1968
31-Mar-2024 19:34:12.041 1,2036
31-Mar-2024 19:34:11.03801 1,2098
31-Mar-2024 19:34:10.04001 1,2154
31-Mar-2024 19:34:09.039 1,2202
31-Mar-2024 19:34:08.039 1,2247
31-Mar-2024 19:34:07.03801 1,2292
31-Mar-2024 19:34:06.039 1,2342
31-Mar-2024 19:34:05.04001 1,2401
31-Mar-2024 19:34:04.039 1,247
31-Mar-2024 19:34:03.03801 1,2549
31-Mar-2024 19:34:02.041 1,2637
31-Mar-2024 19:34:01.039 1,2725
31-Mar-2024 19:34:00.04201 1,281
31-Mar-2024 19:33:59.04001 1,2886
31-Mar-2024 19:33:58.039 1,2951
31-Mar-2024 19:33:57.039 1,3001
31-Mar-2024 19:33:56.041 1,3032
31-Mar-2024 19:33:55.039 1,3047
31-Mar-2024 19:33:54.039 1,3053
31-Mar-2024 19:33:53.041 1,3054
31-Mar-2024 19:33:52.04001 1,3053
31-Mar-2024 19:33:51.04001 1,3057
31-Mar-2024 19:33:50.039 1,3069
31-Mar-2024 19:33:49.03801 1,309
31-Mar-2024 19:33:48.039 1,3118
31-Mar-2024 19:33:47.039 1,3148
31-Mar-2024 19:33:46.039 1,318
31-Mar-2024 19:33:45.03801 1,3213
31-Mar-2024 19:33:44.04001 1,3246
31-Mar-2024 19:33:43.039 1,328
31-Mar-2024 19:33:42.039 1,3314
31-Mar-2024 19:33:41.039 1,3345
31-Mar-2024 19:33:40.039 1,3374
31-Mar-2024 19:33:39.039 1,3399
31-Mar-2024 19:33:38.039 1,3419
31-Mar-2024 19:33:37.039 1,3434
31-Mar-2024 19:33:36.041 1,3443
31-Mar-2024 19:33:35.039 1,3449
31-Mar-2024 19:33:34.03801 1,3448
31-Mar-2024 19:33:33.03801 1,3439
31-Mar-2024 19:33:32.03801 1,342
31-Mar-2024 19:33:31.039 1,3396
31-Mar-2024 19:33:30.04001 1,3369
31-Mar-2024 19:33:29.039 1,3341
31-Mar-2024 19:33:28.04001 1,3319
31-Mar-2024 19:33:27.04001 1,3309
31-Mar-2024 19:33:26.039 1,3311
31-Mar-2024 19:33:25.04001 1,3325
31-Mar-2024 19:33:24.039 1,3343
31-Mar-2024 19:33:23.039 1,3361
31-Mar-2024 19:33:22.039 1,3371
31-Mar-2024 19:33:21.03801 1,337
31-Mar-2024 19:33:20.04001 1,3355
31-Mar-2024 19:33:19.03801 1,3331
31-Mar-2024 19:33:18.039 1,3304
31-Mar-2024 19:33:17.041 1,3285
31-Mar-2024 19:33:16.039 1,3275
31-Mar-2024 19:33:15.041 1,3276
31-Mar-2024 19:33:14.039 1,3281
31-Mar-2024 19:33:13.04001 1,3288
31-Mar-2024 19:33:12.04001 1,3289
31-Mar-2024 19:33:11.041 1,328
31-Mar-2024 19:33:10.04001 1,3259
31-Mar-2024 19:33:09.04001 1,3228
31-Mar-2024 19:33:08.041 1,3191
31-Mar-2024 19:33:07.039 1,3151
31-Mar-2024 19:33:06.039 1,3106
31-Mar-2024 19:33:05.039 1,3056
31-Mar-2024 19:33:04.039 1,3001
31-Mar-2024 19:33:03.039 1,2943
31-Mar-2024 19:33:02.039 1,288
31-Mar-2024 19:33:01.039 1,2808
31-Mar-2024 19:33:00.039 1,2724
31-Mar-2024 19:32:59.03801 1,263
31-Mar-2024 19:32:58.039 1,2523
31-Mar-2024 19:32:57.03801 1,2404
31-Mar-2024 19:32:56.039 1,2276
31-Mar-2024 19:32:55.03801 1,2146
31-Mar-2024 19:32:54.039 1,2019
31-Mar-2024 19:32:53.039 1,1897
31-Mar-2024 19:32:52.039 1,1781
31-Mar-2024 19:32:51.04001 1,1669
31-Mar-2024 19:32:50.039 1,1558
31-Mar-2024 19:32:49.039 1,1443
31-Mar-2024 19:32:48.039 1,1323
31-Mar-2024 19:32:47.039 1,1198
31-Mar-2024 19:32:46.039 1,1071
31-Mar-2024 19:32:45.039 1,0947
31-Mar-2024 19:32:44.04001 1,083
31-Mar-2024 19:32:43.041 1,0724
31-Mar-2024 19:32:42.04201 1,0634
31-Mar-2024 19:32:41.039 1,0558
31-Mar-2024 19:32:40.039 1,0494
31-Mar-2024 19:32:39.039 1,0436
31-Mar-2024 19:32:38.04001 1,0382
31-Mar-2024 19:32:37.039 1,0331
31-Mar-2024 19:32:36.039 1,0284
31-Mar-2024 19:32:35.041 1,0243
31-Mar-2024 19:32:34.041 1,0208
31-Mar-2024 19:32:33.04001 1,0179
31-Mar-2024 19:32:32.041 1,0156
31-Mar-2024 19:32:31.04001 1,014
31-Mar-2024 19:32:30.04001 1,0129
31-Mar-2024 19:32:29.041 1,0122
