Name \\epn-ta-pix-001.epn.local\42FYC4025A/Meas/PRIM
Data Type Float 32
Number of Values 17999
Time Value Value Attributes
2-Apr-2024 17:29:59.039 16,025
2-Apr-2024 17:29:58.041 15,975
2-Apr-2024 17:29:57.03801 15,971
2-Apr-2024 17:29:56.03801 15,998
2-Apr-2024 17:29:55.039 16,027
2-Apr-2024 17:29:54.039 16,029
2-Apr-2024 17:29:53.039 15,992
2-Apr-2024 17:29:52.039 15,921
2-Apr-2024 17:29:51.039 15,835
2-Apr-2024 17:29:50.039 15,748
2-Apr-2024 17:29:49.039 15,672
2-Apr-2024 17:29:48.039 15,614
2-Apr-2024 17:29:47.03801 15,579
2-Apr-2024 17:29:46.03801 15,572
2-Apr-2024 17:29:45.03801 15,587
2-Apr-2024 17:29:44.039 15,602
2-Apr-2024 17:29:43.039 15,601
2-Apr-2024 17:29:42.039 15,576
2-Apr-2024 17:29:41.039 15,532
2-Apr-2024 17:29:40.03801 15,483
2-Apr-2024 17:29:39.041 15,447
2-Apr-2024 17:29:38.039 15,427
2-Apr-2024 17:29:37.03801 15,42
2-Apr-2024 17:29:36.039 15,418
2-Apr-2024 17:29:35.039 15,426
2-Apr-2024 17:29:34.04201 15,456
2-Apr-2024 17:29:33.03801 15,514
2-Apr-2024 17:29:32.039 15,591
2-Apr-2024 17:29:31.039 15,667
2-Apr-2024 17:29:30.039 15,723
2-Apr-2024 17:29:29.039 15,758
2-Apr-2024 17:29:28.039 15,786
2-Apr-2024 17:29:27.039 15,828
2-Apr-2024 17:29:26.039 15,901
2-Apr-2024 17:29:25.039 16,008
2-Apr-2024 17:29:24.039 16,137
2-Apr-2024 17:29:23.039 16,268
2-Apr-2024 17:29:22.039 16,391
2-Apr-2024 17:29:21.039 16,507
2-Apr-2024 17:29:20.039 16,622
2-Apr-2024 17:29:19.039 16,739
2-Apr-2024 17:29:18.04001 16,85
2-Apr-2024 17:29:17.039 16,949
2-Apr-2024 17:29:16.039 17,035
2-Apr-2024 17:29:15.039 17,109
2-Apr-2024 17:29:14.03801 17,173
2-Apr-2024 17:29:13.039 17,221
2-Apr-2024 17:29:12.039 17,248
2-Apr-2024 17:29:11.04001 17,243
2-Apr-2024 17:29:10.039 17,2
2-Apr-2024 17:29:09.039 17,117
2-Apr-2024 17:29:08.039 16,999
2-Apr-2024 17:29:07.039 16,851
2-Apr-2024 17:29:06.039 16,677
2-Apr-2024 17:29:05.03801 16,476
2-Apr-2024 17:29:04.039 16,257
2-Apr-2024 17:29:03.03801 16,043
2-Apr-2024 17:29:02.039 15,872
2-Apr-2024 17:29:01.039 15,757
2-Apr-2024 17:29:00.039 15,674
2-Apr-2024 17:28:59.04001 15,598
2-Apr-2024 17:28:58.039 15,534
2-Apr-2024 17:28:57.039 15,493
2-Apr-2024 17:28:56.039 15,483
2-Apr-2024 17:28:55.039 15,5
2-Apr-2024 17:28:54.04001 15,531
2-Apr-2024 17:28:53.03801 15,559
2-Apr-2024 17:28:52.039 15,577
2-Apr-2024 17:28:51.039 15,586
2-Apr-2024 17:28:50.039 15,592
2-Apr-2024 17:28:49.041 15,604
2-Apr-2024 17:28:48.039 15,631
2-Apr-2024 17:28:47.039 15,686
2-Apr-2024 17:28:46.03801 15,772
