Name \\epn-ta-pix-001.epn.local\42FYC4025A/Meas/PRIM
Data Type Float 32
Number of Values 21597
Time Value Value Attributes
31-Mar-2024 19:32:59.03801 16,062
31-Mar-2024 19:32:58.039 16,075
31-Mar-2024 19:32:57.03801 16,089
31-Mar-2024 19:32:56.039 16,101
31-Mar-2024 19:32:55.03801 16,108
31-Mar-2024 19:32:54.039 16,108
31-Mar-2024 19:32:53.039 16,102
31-Mar-2024 19:32:52.039 16,089
31-Mar-2024 19:32:51.04001 16,071
31-Mar-2024 19:32:50.039 16,053
31-Mar-2024 19:32:49.039 16,041
31-Mar-2024 19:32:48.039 16,041
31-Mar-2024 19:32:47.039 16,053
31-Mar-2024 19:32:46.039 16,069
31-Mar-2024 19:32:45.039 16,078
31-Mar-2024 19:32:44.04001 16,078
31-Mar-2024 19:32:43.041 16,069
31-Mar-2024 19:32:42.04201 16,055
31-Mar-2024 19:32:41.039 16,042
31-Mar-2024 19:32:40.039 16,033
31-Mar-2024 19:32:39.039 16,032
31-Mar-2024 19:32:38.04001 16,035
31-Mar-2024 19:32:37.039 16,035
31-Mar-2024 19:32:36.039 16,027
31-Mar-2024 19:32:35.041 16,016
31-Mar-2024 19:32:34.041 16,007
31-Mar-2024 19:32:33.04001 16,003
31-Mar-2024 19:32:32.041 16,005
31-Mar-2024 19:32:31.04001 16,014
31-Mar-2024 19:32:30.04001 16,028
31-Mar-2024 19:32:29.041 16,044
31-Mar-2024 19:32:28.04001 16,057
31-Mar-2024 19:32:27.04001 16,067
31-Mar-2024 19:32:26.041 16,073
31-Mar-2024 19:32:25.04001 16,075
31-Mar-2024 19:32:24.04001 16,07
31-Mar-2024 19:32:23.04001 16,058
31-Mar-2024 19:32:22.04001 16,045
31-Mar-2024 19:32:21.039 16,04
31-Mar-2024 19:32:20.041 16,045
31-Mar-2024 19:32:19.039 16,059
31-Mar-2024 19:32:18.039 16,077
31-Mar-2024 19:32:17.039 16,094
31-Mar-2024 19:32:16.039 16,105
31-Mar-2024 19:32:15.039 16,106
31-Mar-2024 19:32:14.039 16,095
31-Mar-2024 19:32:13.03801 16,073
31-Mar-2024 19:32:12.039 16,048
31-Mar-2024 19:32:11.039 16,03
31-Mar-2024 19:32:10.039 16,032
31-Mar-2024 19:32:09.04001 16,057
31-Mar-2024 19:32:08.039 16,094
31-Mar-2024 19:32:07.039 16,128
31-Mar-2024 19:32:06.039 16,145
31-Mar-2024 19:32:05.039 16,137
31-Mar-2024 19:32:04.039 16,109
31-Mar-2024 19:32:03.039 16,069
31-Mar-2024 19:32:02.039 16,027
31-Mar-2024 19:32:01.04001 15,993
31-Mar-2024 19:32:00.04001 15,975
31-Mar-2024 19:31:59.04001 15,975
31-Mar-2024 19:31:58.041 15,991
31-Mar-2024 19:31:57.04201 16,016
31-Mar-2024 19:31:56.04001 16,04
31-Mar-2024 19:31:55.04001 16,051
31-Mar-2024 19:31:54.04001 16,047
31-Mar-2024 19:31:53.039 16,03
31-Mar-2024 19:31:52.04001 16,01
31-Mar-2024 19:31:51.03801 15,996
31-Mar-2024 19:31:50.04001 15,995
31-Mar-2024 19:31:49.039 16,008
31-Mar-2024 19:31:48.039 16,028
31-Mar-2024 19:31:47.04001 16,046
31-Mar-2024 19:31:46.039 16,054
31-Mar-2024 19:31:45.039 16,051
31-Mar-2024 19:31:44.039 16,046
31-Mar-2024 19:31:43.039 16,046
31-Mar-2024 19:31:42.03801 16,053
31-Mar-2024 19:31:41.04001 16,067
31-Mar-2024 19:31:40.039 16,084
31-Mar-2024 19:31:39.039 16,095
31-Mar-2024 19:31:38.039 16,096
31-Mar-2024 19:31:37.039 16,087
31-Mar-2024 19:31:36.039 16,076
31-Mar-2024 19:31:35.03801 16,07
31-Mar-2024 19:31:34.039 16,073
31-Mar-2024 19:31:33.03801 16,08
31-Mar-2024 19:31:32.039 16,087
31-Mar-2024 19:31:31.03801 16,086
31-Mar-2024 19:31:30.039 16,078
31-Mar-2024 19:31:29.039 16,066
31-Mar-2024 19:31:28.039 16,053
31-Mar-2024 19:31:27.039 16,045
31-Mar-2024 19:31:26.04001 16,042
31-Mar-2024 19:31:25.039 16,042
31-Mar-2024 19:31:24.039 16,045
31-Mar-2024 19:31:23.039 16,051
31-Mar-2024 19:31:22.039 16,057
31-Mar-2024 19:31:21.041 16,058
31-Mar-2024 19:31:20.039 16,054
31-Mar-2024 19:31:19.04001 16,045
31-Mar-2024 19:31:18.039 16,036
31-Mar-2024 19:31:17.039 16,026
31-Mar-2024 19:31:16.039 16,016
31-Mar-2024 19:31:15.039 16,006
31-Mar-2024 19:31:14.039 15,999
31-Mar-2024 19:31:13.041 15,996
31-Mar-2024 19:31:12.041 15,998
31-Mar-2024 19:31:11.03801 16,002
31-Mar-2024 19:31:10.039 16,006
31-Mar-2024 19:31:09.03801 16,009
31-Mar-2024 19:31:08.039 16,008
31-Mar-2024 19:31:07.03801 16,008
31-Mar-2024 19:31:06.039 16,014
31-Mar-2024 19:31:05.04001 16,03
31-Mar-2024 19:31:04.04001 16,055
31-Mar-2024 19:31:03.03801 16,078
31-Mar-2024 19:31:02.041 16,089
31-Mar-2024 19:31:01.039 16,084
31-Mar-2024 19:31:00.039 16,066
31-Mar-2024 19:30:59.039 16,045
31-Mar-2024 19:30:58.03801 16,035
31-Mar-2024 19:30:57.03801 16,043
31-Mar-2024 19:30:56.039 16,063
31-Mar-2024 19:30:55.039 16,081
31-Mar-2024 19:30:54.039 16,085
31-Mar-2024 19:30:53.03801 16,068
31-Mar-2024 19:30:52.039 16,038
31-Mar-2024 19:30:51.04001 16,01
31-Mar-2024 19:30:50.04001 15,994
31-Mar-2024 19:30:49.039 15,993
31-Mar-2024 19:30:48.04001 16,007
31-Mar-2024 19:30:47.04001 16,03
31-Mar-2024 19:30:46.04001 16,051
31-Mar-2024 19:30:45.039 16,059
31-Mar-2024 19:30:44.04001 16,052
31-Mar-2024 19:30:43.04001 16,034
31-Mar-2024 19:30:42.039 16,008
31-Mar-2024 19:30:41.039 15,986
31-Mar-2024 19:30:40.039 15,976
31-Mar-2024 19:30:39.039 15,983
31-Mar-2024 19:30:38.039 16,002
31-Mar-2024 19:30:37.039 16,024
